Title	Continent	ConName	Country	NationName	State	StateName	Lat	Long	Subject	SubSubject	URL
"Art glass of Louis Comfort Tiffany / Paul E. Doros ; foreword by Alice Cooney Frelinghuysen ; photographs by David Schlegel. "	n	North America	us	United States	--		38	-97	N	K	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4700384
"Aspiring to greatness : West Virginia University since World War II / Ronald L. Lewis ; foreword by Charles M. Vest. "	n	North America	us	United States	wv	West Virginia	38.5983	-80.7033	L	D	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4700385
"From scratch : inside the Food Network / Allen Salkin. "	n	North America	us	United States	--		38	-97	P	N	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4700389
"One summer : America, 1927 / Bill Bryson. "	n	North America	us	United States	--		38	-97	E	7	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4700395
"Quotable Eleanor Roosevelt / edited by Michele Wehrwein Albion. "	n	North America	us	United States	--		38	-97	E	8	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4700398
"Rhythms of labour : music at work in Britain / Marek Korczynski, Michael Pickering and Emma Robertson. "	e	Europe	uk	Great Britain	--		54	-2	M	L	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4700401
"Servants of Allah : African Muslims enslaved in the Americas / Sylvanie A. Diouf. "	n	North America	us	United States	--		38	-97	E	4	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4700403
"Evangelicals and American foreign policy / Mark R. Amstutz. "	n	North America	us	United States	--		38	-97	E	1	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4700406
"Faithful scribe : a story of Islam, Pakistan, family, and war / Shahan Mufti. "	a	Asia	pk	Philippines	--		30	70	D	S	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4700409
"Man born out of due time : new perspectives on St. Anselm of Canterbury / Br. Dunstan Robidoux, editor ; From the Monks of St. Anselm's Abbey and Other Contributors. "	e	Europe	uk	Great Britain	en		54	-2	B	7	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4700412
"One hundred victories : special ops and the future of American warfare / Linda Robinson. "	n	North America	us	United States	--		38	-97	D	S	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4700414
"Howard Post : western perspectives. "	n	North America	us	United States	--		38	-97	N	D	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4691876
"Eco-critical literature : regreening African landscapes / edited by Ogaga Okuyade. "	f	Africa	--		--		2.378	16.063	P	N	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4691884
"Cultural resources survey of the Oak Glen/Haskin low water crossing project in Bexar County, Texas / prepared by Laura I. Acun¿¿a and Abigail Peyton ; principal investigator, Abigail Peyton. "	n	North America	us	United States	tx	Texas	31.2433	-99.4583	F	3	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=4691900
