F043	DISPLAY_CALL_NO	TITLE	URL_Voyager		NORMALIZED_CALL_NO
	"HD9502.O72 G74"	"Energy conservation in the OECD, 1980-2000 / James M. Griffin. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=247968		"HD 9502            O 72   G 74"
	"HC111 .C225"	"Canadian journal of economics. Revue canadienne d'e??conomique. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=248266		"HC  111            C 225"
	"HB1 .R4"	"Review of economic studies. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=248322		"HB    1            R 4"
	"HB31 .S6 no.16"	"Human capital: in retrospect / by B. F. Kiker. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=235590		"HB   31            S 6   NO .16"
"  an-us---"	"KF8748 .S27"	"Supreme Court and Congress : conflict and interaction, 1945-1968 / by John R. Schmidhauser and Larry L. Berg. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=224114		"KF 8748            S 27"
	"HB701 .F86"	"Economics of property rights. Edited by Eirik G. Furubotn [and] Svetozar Pejovich. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=236079		"HB  701            F 86"
"  an-us---"	"H62.5.U5 J6"	"Journal of economic education. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=242275		"H   625           U 5   J 6"
"  an-us---"	"KF224.R6 N58"	"Implosion conspiracy. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=224942		"KF  224            R 6   N 58"
	"HB171.5 .W2 1970"	"Introduction to contemporary microeconomics / Vivian Charles Walsh. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=243057		"HB  1715           W 2   1970"
	"HG1 .J65"	"Journal of financial and quantitative analysis. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=225156		"HG    1            J 65"
"  ae-uk---"	"HG11 .E2"	"Economist. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=225172		"HG   11            E 2"
"  an-us---"	"E744 F75"	"Foreign policy. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=231433		"E  744            F 75"
	"H1 .P7"	"Policy sciences. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=237452		"H    1            P 7"
"  aa-vt---an-us---"	"DS558.2 S95 1982"	"On strategy : a critical analysis of the Vietnam War / Harry G. Summers, Jr. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=237797		"DS  5582           S 95   1982"
	"HC106.6 .U43 1969"	"Welfare state: U.S.A. : an exploration in and beyond the new economics / Melville J. Ulmer. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=238218		"HC  1066           U 43   1969"
		"Journal of econometrics. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=244074		
	"HB161 .S65 1937"	"Inquiry into the nature and causes of the wealth of nations, by Adam Smith; edited, with an introduction, notes, marginal summary and an enlarged index, by Edwin Cannan, with an introduction by Max Lerner. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=238475		"HB  161            S 65   1937"
"  an-usu--"	"HC107 .A13 A67"	"Southern economic journal. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=244669		"HC  107            A 13   A 67"
	"HC79.P55 J68"	"Journal of environmental economics and management. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=244988		"HC   79            P 55   J 68"
	"HB171 .G75"	"Microeconomics and the space economy; the effectiveness of an oligopolistic market economy. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=239562		"HB  171            G 75"
	"HB171 .H635 1946"	"Value and capital : an inquiry into some fundamental principles of economic theory / by J.R. Hicks. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=239619		"HB  171            H 635   1946"
	"HB171 .H635 1946"	"Value and capital : an inquiry into some fundamental principles of economic theory / by J.R. Hicks. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=239619		"HB  171            H 635   1946"
	"HB199 .G73 1971"	"Theory of the firm in economic space [by] Melvin L. Greenhut. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=233933		"HB  199            G 73   1971"
	"H61 .B48 1964"	"Causal inferences in nonexperimental research / by Hubert M. Blalock, Jr. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=234152		"H   61            B 48   1964"
	"H61 .B484 1969"	"Theory construction : from verbal to mathematical formulations / Hubert M. Blalock, Jr. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=234155		"H   61            B 484   1969"
